mun,lat,long
Agueda, 40.574444, -8.448056
Albergaria-a-Velha, 40.693611, -8.480556
Anadia, 40.433333, -8.433333
Arouca, 40.933333, -8.25
Aveiro, 40.616667, -8.633333
Estarreja, 40.75, -8.566667
Ilhavo, 40.6, -8.666667
Mealhada, 40.383333, -8.45
Murtosa, 40.736944, -8.638611
Oliveira de Azemeis, 40.833333, -8.483333
Oliveira do Bairro, 40.516667, -8.5
Ovar, 40.866667, -8.633333
Sao Joao da Madeira, 40.9, -8.5
Sever do Vouga, 40.733333, -8.366667
Vagos, 	40.55, -8.666667
Vale de Cambra,	40.85, -8.4
Arganil, 40.216667, -8.05
Cantanhede, 40.34624, -8.59407
Coimbra, 40.25, -8.45
Condeixa-a-Nova, 40.116667, -8.5
Figueira da Foz, 40.15085, -8.86179
Gois, 40.15, -8.116667
Lousa, 40.112528, -8.246889
Mira, 40.428472, -8.73625
Miranda do Corvo, 40.1, -8.333333
Montemor-o-Velho, 40.166667, -8.683333
Pampilhosa da Serra, 40.05, -7.95
Penacova, 40.266667, -8.266667
Penela, 40.033333, -8.383333
Soure, 40.05, -8.633333
Vila Nova Poiares, 40.216667, -8.25
Alvaiazere, 39.833333, -8.383333
Ansiao, 39.916667, -8.433333
Castanheira de Pera, 40, -8.216667
Figueiro dos Vinhos, 39.9, -8.266667
Pedrogao Grande, 39.916667, -8.15 